종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2021
2220,한일철강 ,2810,0,0,,,5895,0.48,0,0,,
2230,피에스텍 ,5060,-10,-0.2,25,202.4,6922,0.73,75,1.48,,
2240,고려제강 ,20000,-100,-0.5,366,54.64,59061,0.34,300,1.5,,
2270,롯데푸드 ,351500,-1500,-0.42,77191,4.55,672512,0.52,12000,3.41,,
2290,삼일기업공사 ,3995,-85,-2.08,195,20.49,4838,0.83,100,2.5,,
2310,아세아제지 ,51900,-300,-0.57,6057,8.57,70731,0.73,700,1.35,,
2320,한진 ,30450,-550,-1.77,575,52.96,73015,0.42,600,1.97,,
2350,넥센타이어 ,7140,280,4.08,,,14814,0.48,105,1.47,,
2355,넥센타이어1우B ,3250,75,2.36,,,,,110,3.38,,
2360,SH에너지화학 ,950,-1,-0.11,,,808,1.18,0,0,,
2380,KCC ,299000,-6000,-1.97,72945,4.1,548119,0.55,5700,1.91,,
2390,한독 ,22550,-100,-0.44,1958,11.52,27703,0.81,300,1.33,,
2410,범양건영 ,7080,-110,-1.53,442,16.02,3269,2.17,0,0,,
2420,세기상사 ,6160,0,0,,,5066,1.22,0,0,,
2450,삼익악기 ,1760,-15,-0.85,120,14.67,2464,0.71,50,2.84,,
2460,화성산업 ,12100,-250,-2.02,2742,4.41,31644,0.38,650,5.37,,
2600,조흥 ,196000,1000,0.51,12528,15.64,222051,0.88,6000,3.06,,
2620,제일파마홀딩스 ,16650,150,0.91,745,22.35,25508,0.65,70,0.42,,
2630,오리엔트바이오 ,1225,-30,-2.39,,,418,2.93,0,0,,
2680,한탑 ,1315,-20,-1.5,,,2172,0.61,0,0,,
2690,동일제강 ,2865,50,1.78,18,159.17,7926,0.36,0,0,,
2700,신일전자 ,2090,25,1.21,115,18.17,1059,1.97,20,0.96,,
2710,TCC스틸 ,7200,10,0.14,,,4991,1.44,15,0.21,,
2720,국제약품 ,5360,50,0.94,120,44.67,3659,1.46,0,0,,
2760,보락 ,1995,-15,-0.75,7,285,735,2.71,4,0.2,,
2780,진흥기업 ,2140,-25,-1.15,140,15.29,811,2.64,0,0,,
2785,진흥기업우B ,6100,30,0.49,,,,,0,0,,
2787,진흥기업2우B ,14950,-400,-2.61,,,,,0,0,,
2790,아모레G ,45600,-600,-1.3,74,616.22,33851,1.35,230,0.5,,
2795,아모레G우 ,16800,-150,-0.88,,,,,235,1.4,,
2800,신신제약 ,6680,30,0.45,24,278.33,3704,1.8,0,0,,
2810,삼영무역 ,15200,-100,-0.65,1600,9.5,20537,0.74,500,3.29,,
2820,SUN&L ,4915,-5,-0.1,,,16384,0.3,0,0,,
2840,미원상사 ,204500,1000,0.49,10369,19.72,53838,3.8,700,0.34,,
2870,신풍제지 ,2280,-105,-4.4,1189,1.92,2884,0.79,50,2.19,,
2880,대유에이텍 ,1440,-40,-2.7,,,1045,1.38,0,0,,
2900,TYM ,1720,-55,-3.1,29,59.31,934,1.84,0,0,,
2920,유성기업 ,3180,-5,-0.16,,,10196,0.31,120,3.77,,
2960,한국쉘석유 ,276500,500,0.18,16162,17.11,75474,3.66,14000,5.06,,
2990,금호건설 ,11600,50,0.43,741,15.65,10569,1.1,500,4.31,,
2995,금호건설우 ,31300,-200,-0.63,,,,,550,1.76,,
3000,부광약품 ,13100,250,1.95,,,3643,3.6,100,0.76,,
3010,혜인 ,5860,-10,-0.17,484,12.11,8434,0.69,120,2.05,,
3030,세아제강지주 ,108000,-500,-0.46,4227,25.55,235619,0.46,1500,1.39,,
3060,에이프로젠제약 ,903,-20,-2.17,35,25.8,1268,0.71,0,0,,
3070,코오롱글로벌 ,23400,-500,-2.09,3249,7.2,18560,1.26,400,1.71,,
3075,코오롱글로벌우 ,29650,-1550,-4.97,,,,,450,1.52,,
3080,성보화학 ,4095,-65,-1.56,,,6827,0.6,135,3.3,,
3090,대웅 ,30150,-150,-0.5,2343,12.87,11787,2.56,100,0.33,,
3100,선광 ,54500,-500,-0.91,1152,47.31,45992,1.18,350,0.64,,
3120,일성신약 ,72900,0,0,2100,34.71,130630,0.56,750,1.03,,
3160,디아이 ,8360,-40,-0.48,203,41.18,4122,2.03,100,1.2,,
3200,일신방직 ,105500,-1500,-1.4,4428,23.83,295756,0.36,1500,1.42,,
3220,대원제약 ,15600,-350,-2.19,853,18.29,10084,1.55,160,1.03,,
3230,삼양식품 ,79900,-300,-0.37,8922,8.96,45470,1.76,800,1,,
